epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,515.77,3.0124,5.13178,2.44285,0.01362,0.96847,0.02582,0.01553,1.4705,3.03199,1.27195,0.00333082,0.00333082,0.00333082
2,1027.77,1.55883,3.16922,1.2784,0.20436,0.5306,0.23991,0.15652,1.25285,2.09658,1.11309,0.0065322,0.0065322,0.0065322
3,1532.86,1.44896,2.39596,1.19893,0.49389,0.77142,0.6481,0.41444,1.31544,1.43361,1.12596,0.00960159,0.00960159,0.00960159
4,2021.39,1.40049,1.67219,1.16606,0.89158,0.92134,0.97076,0.64658,1.23212,0.79344,1.07242,0.009406,0.009406,0.009406
5,2503.1,1.35853,1.22688,1.14083,0.91396,0.90157,0.97686,0.62485,1.34653,0.76761,1.11231,0.009208,0.009208,0.009208
6,2988.47,1.32938,1.02709,1.13061,0.98498,0.98647,0.99425,0.67727,1.20433,0.57347,1.06469,0.00901,0.00901,0.00901
7,3475.6,1.31637,0.91139,1.12128,0.99286,0.99262,0.99479,0.67641,1.22879,0.52637,1.06766,0.008812,0.008812,0.008812
8,3964.51,1.31048,0.84436,1.11661,0.99375,0.99704,0.9948,0.68634,1.19562,0.50253,1.0525,0.008614,0.008614,0.008614
9,4451.91,1.2946,0.78995,1.10745,0.99545,0.99676,0.99492,0.67408,1.24242,0.48615,1.06296,0.008416,0.008416,0.008416
10,4938.78,1.28983,0.75924,1.10576,0.99626,0.99754,0.99484,0.69818,1.15713,0.46317,1.03535,0.008218,0.008218,0.008218
11,5414.28,1.28158,0.73459,1.10012,0.99685,0.99856,0.99496,0.68604,1.22708,0.45495,1.0558,0.00802,0.00802,0.00802
12,5895.13,1.27298,0.70962,1.09597,0.99789,0.99826,0.99494,0.65834,1.31786,0.47157,1.08732,0.007822,0.007822,0.007822
13,6372.11,1.26993,0.69154,1.09381,0.99821,0.9987,0.99495,0.66425,1.31671,0.44904,1.08144,0.007624,0.007624,0.007624
14,6857.82,1.26418,0.67673,1.09043,0.99857,0.99929,0.99497,0.67332,1.27748,0.43923,1.06387,0.007426,0.007426,0.007426
